keys,en_US,es_AR
$$title,Game's Title,Título del juego
$$start game,Play,Empezar
$$guide,How to play,Cómo jugar
$$settings,Settings,Configuración
$$paused,Paused,En pausa
$$continue,Resume,Continuar
$$exit,Exit,Salir
$$difficulty,Difficulty,Dificultad
$$language,Language,Idioma
$$close,Close,Cerrar
$$lost,You lost,Perdiste
$$back to menu,Back to menu,Volver al menú
$$won,You won,Ganaste
$$end game confirmation,Are you sure you want to finish?,¿Seguro que deseas terminar?
$$end game,Finish,Terminar
$$easy,Easy,Fácil
$$medium,Medium,Medio
$$hard,Hard,Difícil
$$instruction 1,"- Press the items to interact with them

- Press the arrows to move between scenes","- Presione los objetos para interactuar con ellos

- Presione las flechas para moverse de escenario"
$$back,Back,Volver al menú
$$english,English,Inglés
$$spanish,Spanish,Español
$$intro continue,Press to continue…,Presione para continuar...
$$news dialog,"Heavy rains are approaching the creek and flooding is imminent.
It is recommended that you follow prevention protocols.  ","Lluvias fuertes se acercan al arroyo y la inundación es inminente.
Se recomienda que sigan los protocolos de prevención. "
$$news title,FLOOD RISK!,¡RIESGO DE INUNDACIÓN!
$$news extended title,"BREAKING NEWS
HEAVY RAINS
APROACHING","ÚLTIMO MOMENTO
SE APROXIMAN
FUERTES LLUVIAS"
$$mistake energy,You didn’t switch off the power,No cortaste la luz
$$mistake important items,You didn’t gather all the important items,No agarraste todos los objetos importantes
$$mistake toxic items,You didn’t gather all the toxic items,No agarraste todos los objetos tóxicos
